epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.4669,1.55131,4.92484,1.72241,0.74126,0.02546,0.0135,0.00789,1.83036,4.70191,1.76049,0.00598387,0.00199462,0.00598387,0.00199462,0.00598387,0.00199462,0.00598387,0.00199462
2,47.4116,1.70008,4.20108,1.75409,0.69929,0.05827,0.04448,0.02083,1.94789,4.25883,1.8736,0.0119833,0.00399443,0.0119833,0.00399443,0.0119833,0.00399443,0.0119833,0.00399443
3,63.8321,1.71128,3.62483,1.7742,0.55803,0.08651,0.06208,0.03237,1.94564,4.20653,1.88354,0.0179804,0.00599347,0.0179804,0.00599347,0.0179804,0.00599347,0.0179804,0.00599347
4,79.3667,1.72422,3.39199,1.79622,0.50691,0.14501,0.07459,0.03477,1.9285,5.00666,1.97678,0.0239735,0.00799115,0.0239735,0.00799115,0.0239735,0.00799115,0.0239735,0.00799115
5,94.661,1.73298,3.26543,1.78539,0.4254,0.13864,0.08251,0.03626,1.98927,4.84609,1.95329,0.0299607,0.00998691,0.0299607,0.00998691,0.0299607,0.00998691,0.0299607,0.00998691
6,109.233,1.78314,3.18956,1.8053,0.50049,0.13633,0.10805,0.05066,1.95902,3.91346,1.91944,0.0299638,0.00998794,0.0299638,0.00998794,0.0299638,0.00998794,0.0299638,0.00998794
7,123.703,1.73602,3.06586,1.7967,0.49366,0.13784,0.10399,0.05104,1.92791,4.04036,1.91239,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
8,138.401,1.70956,2.97492,1.76139,0.57457,0.14177,0.12311,0.05424,1.9392,3.56492,1.91042,0.0299291,0.00997638,0.0299291,0.00997638,0.0299291,0.00997638,0.0299291,0.00997638
9,153.616,1.6729,2.862,1.77124,0.51109,0.15274,0.14625,0.06703,1.85253,3.03753,1.83413,0.0299075,0.00996915,0.0299075,0.00996915,0.0299075,0.00996915,0.0299075,0.00996915
10,168.367,1.64964,2.72718,1.75244,0.4769,0.20351,0.15426,0.07411,1.85482,2.93829,1.87272,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
